rider_name,rider_city,place,score,purse,statistic based divisions
Jennifer Bonesteel,Burson,5D - 11th,18.855,$108.00 ,
Barbara Walker,Graton,5D - 12th,18.901,$97.00 ,
Jackie Baxton,Mariposa ,5D - 13th,18.93,$90.00 ,
Taylor Dingess,Apple Valley,5D - 14th,18.947,$83.00 ,
Noel Cosca,Friant,5D - 15th,18.99,,
Taylor Rogers,Tulare,5D - 16th,18.993,,
Jesse Williams,Paso Robles,5D - 17th,19.002,,
Kandi Hansen,dundee,5D - 18th,19.012,,
Deanna Hensley,Creston,5D - 19th,19.029,,
Krystle wolcott,Sheridan ,5D - 20th,19.067,,
Grace Murphy,Santa Rosa,5D - 21st,19.096,,
Shannon Cash,Montague,5D - 22nd,19.101,,
Kaitlin Henard,Tulare,5D - 23rd,19.156,,5D - 1st
Shelly Pelowski,O'Neals,5D - 24th,19.163,,5D - 2nd
DAWN COLWELL,San Diego,5D - 25th,19.187,,5D - 3rd
Paisley Solferino,Reno,5D - 26th,19.198,,5D - 4th
Shealynn Day,Salinas,5D - 27th,19.229,,
Melissa Tucker,Anderson,5D - 28th,19.239,,
Kelly Munk,Hidden Valley Lake,5D - 29th,19.267,,
Treena Toth,Grants pass ,5D - 30th,19.336,,
Ashley Fairhurst,Paicines ,5D - 31st,19.365,,
Nataushia Morales,Denair,5D - 32nd,19.384,,
Esther Dorr,Descanso,5D - 33rd,19.426,,
Shellie Kerr,Gerber,5D - 34th,19.455,,
Nataushia Morales,Denair,5D - 35th,19.48,,
Rosie Saabye,Valley Springs ,5D - 36th,19.521,,
Sylvie Chatham,Anderson,5D - 37th,19.522,,
Aleasha Barnes,Anderson,5D - 38th,19.62,,
Taya Martinez-Ruiz,Bakersfield,5D - 39th,19.634,,
Chase Becker,Surprise,5D - 40th,19.696,,
Milla Mendoza,Burson,5D - 41st,19.747,,
Nikya Vickery,Freedom,5D - 42nd,19.795,,
Misty Clark,Terra Bella,5D - 43rd,19.932,,
Shannon Lemons,Arroyo Grande,5D - 44th,19.933,,
Gay Boyd,Descanso,5D - 45th,20.122,,
Codi Campoli,Watsonville,5D - 46th,20.217,,
Kenzie Pedreiro,Chowchilla,5D - 47th,20.283,,
Bea Lefanto,Washoe Valley,5D - 48th,20.325,,
Payton Schoeppach,Lincoln,5D - 49th,20.463,,
Kasi Finley,Marysville,5D - 50th,20.682,,
Lilly Lefanto,Washoe Valley,5D - 51st,21.102,,
Jade Christensen,California City,5D - 52nd,21.495,,
Abi Price,Hanford ,5D - 53rd,21.846,,
Janette Sundstedt,Vacaville,5D - 54th,22.117,,
Tammie Butler,Shingle springs,5D - 55th,23.513,,
Cassie Howell,Romoland ,5D - 56th,23.846,,
Allison  Glover,Madera,5D - 57th,24.279,,
